nonstat_scale,episodes,be_integrated_rmse,gen2_integrated_rmse,relative_improvement
0.0,60,0.09248299913176625,0.08478594197605827,0.08322672521402023
0.0,120,0.09313732176182292,0.08798966865462904,0.055269498948636385
0.0,180,0.08557736242610717,0.09388346036558819,-0.09705952256536327
0.0,300,0.08796042533840007,0.10872733415516343,-0.2360937744089938
0.5,60,0.06882179440051733,0.06446781488361833,0.0632645451172118
0.5,120,0.10246692742788382,0.0931033447732777,0.09138151098749607
0.5,180,0.08190594441394634,0.07687752989640032,0.06139254670128469
0.5,300,0.0894537401138833,0.0907744631106781,-0.01476431276225456
1.0,60,0.07046815028065162,0.0630136865929326,0.10578486391412747
1.0,120,0.0887525375438851,0.12462100542930855,-0.40414019562750786
1.0,180,0.08418604291005492,0.06492293532731516,0.2288159285895006
1.0,300,0.08424646747678917,0.08220996333901087,0.02417316949626851
1.5,60,0.10579388295864683,0.11022235502699107,-0.04185943406647864
1.5,120,0.07551842019778536,0.07627445533612924,-0.01001126793123847
1.5,180,0.08769947842702626,0.08569180282602085,0.022892674358103243
1.5,300,0.07537024602420066,0.07772521789496654,-0.031245378580955257
