task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262120,BE,-1,8,0.003866755936142808,0.05401936764553012,0.05041119968504166,0.0023023270000521734,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen1,1,8,0.031424424180704714,0.029718130548003013,0.03441445395977639,0.004581008000059228,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen2,2,8,0.03433122989684648,0.07067909618800745,0.060995226195458295,0.005007305999924938,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen3,3,8,0.03517845135981594,0.06767420086985068,0.043318400473198196,0.004808858000160399,0.0,Small,0.12,28
small_pendulum_rich,Small,20262060,BE,-1,8,0.002636792716161918,0.13313625145005303,0.08639711659773397,0.004416652000145405,0.0,Small,0.06,56
small_pendulum_rich,Small,20262060,Gen1,1,8,0.036424001406183695,0.11962919536101899,0.07148436461664462,0.009302410999907806,0.0,Small,0.06,56
small_pendulum_rich,Small,20262060,Gen2,2,8,0.04447431732188428,0.12911324638948096,0.07672241821727069,0.012153724999961923,0.0,Small,0.06,56
small_pendulum_rich,Small,20262060,Gen3,3,8,0.04830263174328432,0.12853317364924702,0.07794404757308311,0.009598513999890201,0.0,Small,0.06,56
medium_cartpole_like_quadratic,Medium,20263120,BE,-1,8,0.002914542181401623,0.17306672660354716,0.11686263450968147,0.0026428280000345694,0.0,Medium,0.12,28
medium_cartpole_like_quadratic,Medium,20263120,Gen1,1,8,0.022976157389658584,0.12197434286489423,0.08653131278407505,0.006708285000058822,0.0,Medium,0.12,28
medium_cartpole_like_quadratic,Medium,20263120,Gen2,2,8,0.02484528040088925,0.1218127267886075,0.08307191482569451,0.004886227000042709,0.0,Medium,0.12,28
medium_cartpole_like_quadratic,Medium,20263120,Gen3,3,8,0.024668634083655366,0.13342142692925255,0.08792422019930106,0.0054083479999462725,0.0,Medium,0.12,28
medium_cartpole_like_quadratic,Medium,20263060,BE,-1,8,0.005474136033968554,0.22125484906116788,0.13533065971880498,0.004906887000061033,0.0,Medium,0.06,56
medium_cartpole_like_quadratic,Medium,20263060,Gen1,1,8,0.07912373276756325,0.13870221285178358,0.07779259513747866,0.012162508000074013,0.0,Medium,0.06,56
medium_cartpole_like_quadratic,Medium,20263060,Gen2,2,8,0.08375287918095611,0.1391839224356179,0.07933767611417003,0.01065202900008444,0.0,Medium,0.06,56
medium_cartpole_like_quadratic,Medium,20263060,Gen3,3,8,0.08930502889622956,0.1501996163334145,0.08457515109146989,0.013481155999897965,0.0,Medium,0.06,56
