episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
160,0.0,0,0.07099772919549348,0.055914489141870985,0.212446795475536,24,24
160,0.0,1,0.07988134916677124,0.07110459445687205,0.10987238950578611,24,24
160,1.0,0,0.06269708620273584,0.04642012714165572,0.25961268771641677,24,24
160,1.0,1,0.07731713230194372,0.07169428320320088,0.07272449108412518,24,24
160,2.0,0,0.051134582549247555,0.04223284478618327,0.1740844907551763,24,24
160,2.0,1,0.058628968464100685,0.04654495593084186,0.20610992909858256,24,24
320,0.0,0,0.07295633016503825,0.06322088943123245,0.13344202911224776,24,24
320,0.0,1,0.05858775171754687,0.042912940118137774,0.26754417331079344,24,24
320,1.0,0,0.06756145824561806,0.05012891948068353,0.25802490380771465,24,24
320,1.0,1,0.06989909635852015,0.05803815995942061,0.1696865484249395,24,24
320,2.0,0,0.06244643324620138,0.05501049969682797,0.11907699387820107,24,24
320,2.0,1,0.07535354801040103,0.07112176787645401,0.056159003068613475,24,24
