method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
BE,-1,24,0.002670762831993044,0.08476510460927866,0.045282258045773224,0.006030165999845849,Small,0.12,32
Gen1,1,24,0.020233324709808587,0.0681421904851502,0.035655008410817736,0.015764634000106525,Small,0.12,32
Gen2,2,24,0.027718275107390618,0.12317455168123738,0.05959475853125894,0.013822686999901634,Small,0.12,32
Gen3,3,12,0.0330768733682501,0.14119479134711296,0.07589317579102804,0.016420222000078866,Small,0.12,32
BE,-1,24,0.0033002330550276284,0.07826092936690453,0.046932220838292495,0.007370713000000251,Small,0.12,32
Gen1,1,24,0.0272352328919888,0.06367035657740844,0.03664406897513786,0.012721515999828625,Small,0.12,32
Gen2,2,24,0.029352437228036217,0.0923561515956053,0.04974374921503639,0.013264351999850987,Small,0.12,32
Gen3,3,16,0.032255781675656035,0.1318142147334322,0.07421828685668946,0.011942720999968515,Small,0.12,32
BE,-1,24,0.001663818711098131,0.08827757894750747,0.062478130980927,0.01352212699998745,Small,0.06,56
Gen1,1,24,0.028796756407155365,0.06231239515959777,0.043858478117618255,0.023830694000025687,Small,0.06,56
Gen2,2,24,0.029466012608462926,0.07216128941344485,0.04961955831283495,0.023735929999929795,Small,0.06,56
Gen3,3,24,0.029842499582174803,0.07585819198020939,0.05213932945732868,0.02285922800001572,Small,0.06,56
BE,-1,24,0.007374744346078997,0.08493575213176695,0.05664979863173692,0.012310539000054632,Small,0.06,56
Gen1,1,1,0.11038724027646306,0.2696189396461953,0.1297472185093994,0.021248586999945474,Small,0.06,56
Gen2,2,24,0.1345550240419526,0.0630610169766061,0.04067801373458987,0.022280619999946794,Small,0.06,56
Gen3,3,24,0.1337536586382094,0.07198994646189104,0.04646138848557409,0.02494831199987857,Small,0.06,56
BE,-1,24,0.0021997120045577252,0.1356699578301558,0.09536405739101704,0.008809495000150491,Medium,0.12,32
Gen1,1,24,0.023608857515643403,0.10947976919635763,0.08319368651065376,0.017307013999925402,Medium,0.12,32
Gen2,2,24,0.027596780677168684,0.08360320167511195,0.07018417775439144,0.014635953000151858,Medium,0.12,32
Gen3,3,24,0.03114556711059489,0.08645869305265894,0.07141805829964863,0.01472271600005115,Medium,0.12,32
BE,-1,24,0.0015734327506788926,0.14053737503959685,0.0980249599382752,0.007383072999800788,Medium,0.12,32
Gen1,1,24,0.012272662782300426,0.11186538897774023,0.08559200374774273,0.01504094299980352,Medium,0.12,32
Gen2,2,24,0.012562769265810668,0.11152465163353557,0.07661164579549619,0.015700040999945486,Medium,0.12,32
Gen3,3,24,0.012766315023339768,0.12001940783315904,0.08155859727819405,0.014813204999882146,Medium,0.12,32
BE,-1,24,0.0014101244023770108,0.1611635503490677,0.09632113851370212,0.014989380000088204,Medium,0.06,56
Gen1,1,24,0.020007112081552408,0.11015029922146662,0.07075578065127444,0.028371264000043084,Medium,0.06,56
Gen2,2,24,0.021767054058241756,0.09664277875690744,0.06194708041382138,0.02611391100003857,Medium,0.06,56
Gen3,3,24,0.021479922433853032,0.0977797201006941,0.06364723558578633,0.029953025000168054,Medium,0.06,56
BE,-1,24,0.0023671722992975744,0.16176205702609125,0.10800709126731599,0.012671541999907276,Medium,0.06,56
Gen1,1,24,0.034617865333902695,0.11252010401684824,0.0683624121409312,0.027418442999987747,Medium,0.06,56
Gen2,2,24,0.03650950601430101,0.10591409037954619,0.06653444308532636,0.02512992399988434,Medium,0.06,56
Gen3,3,24,0.03708847122055831,0.10911450596711535,0.07038828493346451,0.026756488000046375,Medium,0.06,56
